version,version_label,space,space_label,n,n_perm,seed,term,df,SumOfSqs,R2,pseudo_F,p,permutation
D,"D log(SDI), common support",scar,"D_scar (SP-SPHARM, l = 1-6)",20,9999,42,SDI,1,0.36846674952056624,0.016895090831438843,0.6000342918751737,0.609,restricted_within_rawmat
D,"D log(SDI), common support",scar,"D_scar (SP-SPHARM, l = 1-6)",20,9999,42,Raw_mat:SDI,1,0.30246070712067485,0.013868554289889323,0.4925459256591309,0.676,restricted_within_rawmat
D,"D log(SDI), common support",scar,"D_scar (SP-SPHARM, l = 1-6)",20,9999,42,Residual,11,6.754837681126082,0.30972563012196846,NA,NA,restricted_within_rawmat
D,"D log(SDI), common support",scar,"D_scar (SP-SPHARM, l = 1-6)",20,9999,42,Total,19,21.809101424593308,1,NA,NA,restricted_within_rawmat
D,"D log(SDI), common support",morph,"D_morph (M-SPHARM, l = 1-8)",20,9999,42,Raw_mat,1,4.435231882250289,0.09521972334939613,2.255424825152582,0.0706,free
D,"D log(SDI), common support",morph,"D_morph (M-SPHARM, l = 1-8)",20,9999,42,core_type,5,17.719090733366645,0.38041008056110653,1.8021189502673651,0.0516,free
D,"D log(SDI), common support",morph,"D_morph (M-SPHARM, l = 1-8)",20,9999,42,SDI,1,1.3770447562838797,0.029563690064962466,0.700261228978418,0.5937,free
D,"D log(SDI), common support",morph,"D_morph (M-SPHARM, l = 1-8)",20,9999,42,Raw_mat:SDI,1,1.4163503729611193,0.03040753995724482,0.7202491046916488,0.5709,free
D,"D log(SDI), common support",morph,"D_morph (M-SPHARM, l = 1-8)",20,9999,42,Residual,11,21.631202317484753,0.46439896606729,NA,NA,free
D,"D log(SDI), common support",morph,"D_morph (M-SPHARM, l = 1-8)",20,9999,42,Total,19,46.57892006234669,1,NA,NA,free
D,"D log(SDI), common support",morph,"D_morph (M-SPHARM, l = 1-8)",20,9999,42,Raw_mat,1,4.435231882250289,0.09521972334939613,2.255424825152582,0.101,restricted_within_rawmat
D,"D log(SDI), common support",morph,"D_morph (M-SPHARM, l = 1-8)",20,9999,42,core_type,5,17.719090733366645,0.38041008056110653,1.8021189502673651,0.0535,restricted_within_rawmat
D,"D log(SDI), common support",morph,"D_morph (M-SPHARM, l = 1-8)",20,9999,42,SDI,1,1.3770447562838797,0.029563690064962466,0.700261228978418,0.5905,restricted_within_rawmat
