model,model_label,version,version_label,space,space_label,n,n_perm,seed,term,df,SumOfSqs,R2,pseudo_F,p,permutation
M2,M2 raw material controlled,B,"B log(SDI), full sample",scar,"D_scar (SP-SPHARM, l = 1-6)",48,9999,42,Layer:SDI,1,1.2868577900825393,0.017245342400800865,0.9496968637159493,0.3876,restricted_within_layer
M2,M2 raw material controlled,B,"B log(SDI), full sample",scar,"D_scar (SP-SPHARM, l = 1-6)",48,9999,42,Residual,38,51.490741826607184,0.6900338795121445,NA,NA,restricted_within_layer
M2,M2 raw material controlled,B,"B log(SDI), full sample",scar,"D_scar (SP-SPHARM, l = 1-6)",48,9999,42,Total,47,74.62059958999586,1,NA,NA,restricted_within_layer
M2,M2 raw material controlled,B,"B log(SDI), full sample",morph,"D_morph (M-SPHARM, l = 1-8)",48,9999,42,Raw_mat,1,3.7119592472800695,0.04176474596316149,2.2480811509739635,0.0641,free
M2,M2 raw material controlled,B,"B log(SDI), full sample",morph,"D_morph (M-SPHARM, l = 1-8)",48,9999,42,Layer,1,1.0075133684379391,0.011335938000432687,0.610182295131411,0.668,free
M2,M2 raw material controlled,B,"B log(SDI), full sample",morph,"D_morph (M-SPHARM, l = 1-8)",48,9999,42,core_type,5,17.4341055767955,0.19615813159676726,2.111730303073927,0.0084,free
M2,M2 raw material controlled,B,"B log(SDI), full sample",morph,"D_morph (M-SPHARM, l = 1-8)",48,9999,42,SDI,1,1.847647239570744,0.020788621978205257,1.1189942173992484,0.3352,free
M2,M2 raw material controlled,B,"B log(SDI), full sample",morph,"D_morph (M-SPHARM, l = 1-8)",48,9999,42,Layer:SDI,1,2.1322096843127305,0.02399034845836899,1.291334328290359,0.2461,free
M2,M2 raw material controlled,B,"B log(SDI), full sample",morph,"D_morph (M-SPHARM, l = 1-8)",48,9999,42,Residual,38,62.744377059312065,0.7059622140030642,NA,NA,free
M2,M2 raw material controlled,B,"B log(SDI), full sample",morph,"D_morph (M-SPHARM, l = 1-8)",48,9999,42,Total,47,88.87781217570905,1,NA,NA,free
M2,M2 raw material controlled,B,"B log(SDI), full sample",morph,"D_morph (M-SPHARM, l = 1-8)",48,9999,42,Raw_mat,1,3.7119592472800695,0.04176474596316149,2.2480811509739635,0.0664,restricted_within_layer
M2,M2 raw material controlled,B,"B log(SDI), full sample",morph,"D_morph (M-SPHARM, l = 1-8)",48,9999,42,Layer,1,1.0075133684379391,0.011335938000432687,0.610182295131411,0.9031,restricted_within_layer
